npb_player_id,name_ja,gurazeni_id,baseballinfo_slug,match_method,confidence
41445134,西口 直人,1383,,gurazeni_team_2026,high
41445152,能戸 輝夢,2922,,gurazeni_team_2026,high
41445153,中野 拓夢,2020,,gurazeni_team_2026,high
41445159,仲田 侑仁,2536,,gurazeni_team_2026,high
41545114,角中 勝也,808,,gurazeni_team_2026,high
41545130,加藤 匠馬,1134,,gurazeni_team_2026,high
41545132,加藤 貴之,1189,,gurazeni_team_2026,high
41545136,清宮 幸太郎,1593,,gurazeni_team_2026,high
41545138,勝又 温史,1656,,gurazeni_team_2026,high
41545151,大西 広樹,1860,,gurazeni_team_2026,high
41545152,小田 康一郎,2855,,gurazeni_team_2026,high
41545153,大道 温貴,1938,,gurazeni_team_2026,high
41545157,木村 光,2341,,gurazeni_team_2026,high
41645132,福 敬登,1299,,gurazeni_team_2026,high
41645136,藤岡 裕大,1601,,gurazeni_team_2026,high
41645139,若月 健矢,969,,gurazeni_team_2026,high
41645152,藤川 敦也,2835,,gurazeni_team_2026,high
41645155,廣畑 敦也,2208,,gurazeni_team_2026,high
41645157,日髙 暖己,2339,,gurazeni_team_2026,high
41645159,平山 功太,2470,,gurazeni_team_2026,high
41745134,才木 浩人,1456,,gurazeni_team_2026,high
41745135,近藤 健介,487,,gurazeni_team_2026,high
41745138,坂本 光士郎,1737,,gurazeni_team_2026,high
41745150,木下 里都,2613,,gurazeni_team_2026,high
41745152,小島 大河,2831,,gurazeni_team_2026,high
41745153,川瀬 堅斗,2054,,gurazeni_team_2026,high
41745155,黒原 拓未,2127,,gurazeni_team_2026,high
41745157,齋藤 響介,2347,,gurazeni_team_2026,high
41745159,古田島 成龍,2507,,gurazeni_team_2026,high
41845130,山﨑 康晃,1144,,gurazeni_team_2026,high
41845132,村林 一輝,1245,,gurazeni_team_2026,high
41845138,湯浅 京己,1651,,gurazeni_team_2026,high
41845150,町田 隼乙,2666,,gurazeni_team_2026,high
41845152,松川 玲央,2802,,gurazeni_team_2026,high
41845155,前川 誠太,2207,,gurazeni_team_2026,high
41845157,松本 晴,2336,,gurazeni_team_2026,high
41945131,筒香 嘉智,420,,gurazeni_team_2026,high
41945132,柴田 竜拓,1318,,gurazeni_team_2026,high
41945137,田村 龍弘,783,,gurazeni_team_2026,high
41945139,田口 麗斗,889,,gurazeni_team_2026,high
41945150,坂井 遼,2661,,gurazeni_team_2026,high
41945152,佐藤 龍月,2805,,gurazeni_team_2026,high
41945155,佐藤 隼輔,2155,,gurazeni_team_2026,high
43045155,ボー・タカハシ,2225,,gurazeni_team_2026,high
43145136,湯浅 大,1527,,gurazeni_team_2026,high
43145150,矢野 泰二郎,2663,,gurazeni_team_2026,high
43145152,山城 京平,2806,,gurazeni_team_2026,high
43145153,丸山 翔大,2024,,gurazeni_team_2026,high
43145157,森下 翔太,2269,,gurazeni_team_2026,high
43245159,Ｊ．ダウンズ,2604,,gurazeni_team_2026,high
43345150,林 冠臣,2626,,gurazeni_team_2026,high
43345153,山下 舜平大,1987,,gurazeni_team_2026,high
43345155,YG安田,2142,,gurazeni_team_2026,high
43345157,山田 陽翔,2295,,gurazeni_team_2026,high
43345159,森田 駿哉,2501,,gurazeni_team_2026,high
43545152,Ｆ．ターノック,2923,,gurazeni_team_2026,high
43545155,吉野 創士,2160,,gurazeni_team_2026,high
43545159,Ａ．エスピノーザ,2581,,gurazeni_team_2026,high
43745150,Ｓ．ファビアン,2742,,gurazeni_team_2026,high
43745152,Ｓ．ラオ,2888,,gurazeni_team_2026,high
43745159,Ａ．ジャクソン,2570,,gurazeni_team_2026,high
43945152,Ｒ．カストロ,2889,,gurazeni_team_2026,high
43945159,Ａ．マチャド,2582,,gurazeni_team_2026,high
51055132,高橋 奎二,1254,,gurazeni_team_2026,high
51055133,島本 浩也,369,,gurazeni_team_2026,high
51055137,則本 昂大,674,,gurazeni_team_2026,high
51055138,田宮 裕涼,1689,,gurazeni_team_2026,high
51055150,佐藤 太陽,2627,,gurazeni_team_2026,high
51055151,佐藤 一磨,1815,,gurazeni_team_2026,high
51055153,榮枝 裕貴,1985,,gurazeni_team_2026,high
51055155,末包 昇大,2204,,gurazeni_team_2026,high
51155118,浅村 栄斗,558,,gurazeni_team_2026,high
51155130,有原 航平,1054,,gurazeni_team_2026,high
51155136,東 克樹,1510,,gurazeni_team_2026,high
51155150,浅利 太門,2692,,gurazeni_team_2026,high
51155151,東妻 純平,1787,,gurazeni_team_2026,high
51155152,秋山 俊,2799,,gurazeni_team_2026,high
51155153,赤羽 由紘,2022,,gurazeni_team_2026,high
51155155,赤星 優志,2180,,gurazeni_team_2026,high
51155157,青山 美夏人,2316,,gurazeni_team_2026,high
51255118,中村 悠平,191,,gurazeni_team_2026,high
51255138,中川 圭太,1744,,gurazeni_team_2026,high
