npb_player_id,name_ja,name_en,name_en_full,name_en_short,team,team_code,position,uniform_no,throw_hand,bat_hand,is_new_2026
11315115,石川 雅規,Ishikawa Masanori,Ishikawa Masanori,M.Ishikawa,東京ヤクルトスワローズ,S,投手,,L,L,0
11915153,木澤 尚文,Kizawa Naofumi,Kizawa Naofumi,N.Kizawa,東京ヤクルトスワローズ,S,投手,,R,R,0
53555157,吉村 貢司郎,Yoshimura Kojiro,Yoshimura Kojiro,K.Yoshimura,東京ヤクルトスワローズ,S,投手,,R,R,0
11815134,星 知弥,Hoshi Tomoya,Hoshi Tomoya,T.Hoshi,東京ヤクルトスワローズ,S,投手,,R,R,0
63365153,山野 太一,Yamano Taichi,Yamano Taichi,T.Yamano,東京ヤクルトスワローズ,S,投手,,L,L,0
03105159,松本 健吾,Matsumoto Kengo,Matsumoto Kengo,K.Matsumoto,東京ヤクルトスワローズ,S,投手,,R,R,0
11515137,小川 泰弘,Ogawa Yasuhiro,Ogawa Yasuhiro,Y.Ogawa,東京ヤクルトスワローズ,S,投手,,R,R,0
91295150,荘司 宏太,Shoji Kota,Shoji Kota,K.Shoji,東京ヤクルトスワローズ,S,投手,,L,L,0
23125152,山崎 太陽,Yamazaki Taiyo,Yamazaki Taiyo,T.Yamazaki,東京ヤクルトスワローズ,S,投手,,R,R,0
41945139,田口 麗斗,Taguchi Kazuto,Taguchi Kazuto,K.Taguchi,東京ヤクルトスワローズ,S,投手,,L,L,0
41145159,石原 勇輝,Ishihara Yuki,Ishihara Yuki,Y.Ishihara,東京ヤクルトスワローズ,S,投手,,L,L,0
21925139,高梨 裕稔,Takanashi Hirotoshi,Takanashi Hirotoshi,H.Takanashi,東京ヤクルトスワローズ,S,投手,,R,R,0
71575134,拓也,Yasaki Takuya,Yasaki Takuya,T.Yasaki,東京ヤクルトスワローズ,S,投手,,R,R,0
01805152,増居 翔太,Masui Shohta,Masui Shohta,S.Masui,東京ヤクルトスワローズ,S,投手,,L,L,0
41545151,大西 広樹,Ohnishi Hiroki,Ohnishi Hiroki,H.Ohnishi,東京ヤクルトスワローズ,S,投手,,R,R,0
01705132,小澤 怜史,Kozawa Reiji,Kozawa Reiji,R.Kozawa,東京ヤクルトスワローズ,S,投手,,R,L,0
51055132,高橋 奎二,Takahashi Keiji,Takahashi Keiji,K.Takahashi,東京ヤクルトスワローズ,S,投手,,L,L,0
61065152,鈴木 蓮吾,Suzuki Rengo,Suzuki Rengo,R.Suzuki,東京ヤクルトスワローズ,S,投手,,L,L,0
11615134,長谷川 宙輝,Hasegawa Hiroki,Hasegawa Hiroki,H.Hasegawa,東京ヤクルトスワローズ,S,投手,,L,L,0
81785157,坂本 拓己,Sakamoto Takumi,Sakamoto Takumi,T.Sakamoto,東京ヤクルトスワローズ,S,投手,,L,L,0
01105152,飯田 琉斗,Iida Ryuto,Iida Ryuto,R.Iida,東京ヤクルトスワローズ,S,投手,,R,R,0
13915152,Ｊ．リランソ,Jesus Liranzo,Jesus Liranzo,J.Liranzo,東京ヤクルトスワローズ,S,投手,,R,R,0
81785136,阪口 皓亮,Sakaguchi Kousuke,Sakaguchi Kousuke,K.Sakaguchi,東京ヤクルトスワローズ,S,投手,,R,L,0
43145153,丸山 翔大,Maruyama Shota,Maruyama Shota,S.Maruyama,東京ヤクルトスワローズ,S,投手,,R,L,0
77575159,下川 隼佑,Shimokawa Shunsuke,Shimokawa Shunsuke,S.Shimokawa,東京ヤクルトスワローズ,S,投手,,R,R,0
61265138,沼田 翔平,Numata Shohei,Numata Shohei,S.Numata,東京ヤクルトスワローズ,S,投手,,R,R,0
71175132,青柳 晃洋,Aoyagi Koyo,Aoyagi Koyo,K.Aoyagi,東京ヤクルトスワローズ,S,投手,,R,R,0
01705134,古賀 優大,Koga Yudai,Koga Yudai,Y.Koga,東京ヤクルトスワローズ,S,捕手,,R,R,0
51255118,中村 悠平,Nakamura Yuhei,Nakamura Yuhei,Y.Nakamura,東京ヤクルトスワローズ,S,捕手,,R,R,0
51855136,松本 直樹,Matsumoto Naoki,Matsumoto Naoki,N.Matsumoto,東京ヤクルトスワローズ,S,捕手,,R,R,0
21525132,柿沼 友哉,Kakinuma Tomoya,Kakinuma Tomoya,T.Kakinuma,東京ヤクルトスワローズ,S,捕手,,R,R,0
11615157,橋本 星哉,Hashimoto Seiya,Hashimoto Seiya,S.Hashimoto,東京ヤクルトスワローズ,S,捕手,,R,L,0
43145150,矢野 泰二郎,Yano Taijiro,Yano Taijiro,T.Yano,東京ヤクルトスワローズ,S,捕手,,R,R,0
01005159,鈴木 叶,Suzuki Kyo,Suzuki Kyo,K.Suzuki,東京ヤクルトスワローズ,S,捕手,,R,R,0
51155153,赤羽 由紘,Akahane Yoshihiro,Akahane Yoshihiro,Y.Akahane,東京ヤクルトスワローズ,S,内野手,,R,R,0
91895133,山田 哲人,Yamada Tetsuto,Yamada Tetsuto,T.Yamada,東京ヤクルトスワローズ,S,内野手,,R,R,0
61865152,松下 歩叶,Matsushita Ayuto,Matsushita Ayuto,A.Matsushita,東京ヤクルトスワローズ,S,内野手,,R,R,0
51455151,長岡 秀樹,Nagaoka Hideki,Nagaoka Hideki,H.Nagaoka,東京ヤクルトスワローズ,S,内野手,,R,L,0
61865132,茂木 栄五郎,Mogi Eigoro,Mogi Eigoro,E.Mogi,東京ヤクルトスワローズ,S,内野手,,R,L,0
01805136,宮本 丈,Miyamoto Takeshi,Miyamoto Takeshi,T.Miyamoto,東京ヤクルトスワローズ,S,内野手,,R,L,0
23525153,Ｊ．オスナ,Jose Osuna,Jose Osuna,J.Osuna,東京ヤクルトスワローズ,S,内野手,,R,R,0
21825138,山野辺 翔,Yamanobe Kakeru,Yamanobe Kakeru,K.Yamanobe,東京ヤクルトスワローズ,S,内野手,,R,R,0
41145152,石井 巧,Ishii Takumi,Ishii Takumi,T.Ishii,東京ヤクルトスワローズ,S,内野手,,R,R,0
41845152,松川 玲央,Matsukawa Reo,Matsukawa Reo,R.Matsukawa,東京ヤクルトスワローズ,S,内野手,,R,L,0
01505157,北村 恵吾,Kitamura Keigo,Kitamura Keigo,K.Kitamura,東京ヤクルトスワローズ,S,内野手,,R,R,0
01405150,田中 陽翔,Tanaka Haruto,Tanaka Haruto,H.Tanaka,東京ヤクルトスワローズ,S,内野手,,R,L,0
71275151,武岡 龍世,Takeoka Ryusei,Takeoka Ryusei,R.Takeoka,東京ヤクルトスワローズ,S,内野手,,R,L,0
81185159,伊藤 琉偉,Itoh Ryui,Itoh Ryui,R.Itoh,東京ヤクルトスワローズ,S,内野手,,R,R,0
91695153,並木 秀尊,Namiki Hidetaka,Namiki Hidetaka,H.Namiki,東京ヤクルトスワローズ,S,外野手,,R,R,0
93195155,丸山 和郁,Maruyama Kazuya,Maruyama Kazuya,K.Maruyama,東京ヤクルトスワローズ,S,外野手,,L,L,0
71975136,塩見 泰隆,Shiomi Yasutaka,Shiomi Yasutaka,Y.Shiomi,東京ヤクルトスワローズ,S,外野手,,R,R,0
53755153,Ｄ．サンタナ,Domingo Santana,Domingo Santana,D.Santana,東京ヤクルトスワローズ,S,外野手,,R,R,0
93195150,モイセエフ ニキータ,Moiseev Nikita,Moiseev Nikita,N.Moiseev,東京ヤクルトスワローズ,S,外野手,,L,L,0
